_id;datetime;predefinedlocationreference;averagevehiclespeed;traveltime;traveltimereliability;trafficstatus;vehicleprobemeasurement;geo_shape;gml_id;id_rva_troncon_fcd_v1_1;hierarchie;hierarchie_dv;denomination;insee;sens_circule;vitesse_maxi;longitude;latitude
671a44554397ae3ceaf663eb;2024-10-24 14:53:00;15066;35;4;74;heavy;2;{'type': 'Feature', 'geometry': {'coordinates': [[-1.776318017054259, 48.060741075923914], [-1.776332975577797, 48.060712477560834], [-1.776346550110281, 48.06067126200848], [-1.776351435712467, 48.06062918129862], [-1.776347537512515, 48.06058705492312], [-1.776334931290926, 48.06054570158366], [-1.776313862315524, 48.06050592662401], [-1.776289655128805, 48.06047406182463], [-1.776260046505046, 48.06044431675636], [-1.776225445424763, 48.06041710155603]], 'type': 'LineString'}, 'properties': {}};rva_troncon_fcd_v1_1.5411;5411;Réseau d'armature;Réseau de transit;Rond-point des Villeneuves;35076;Sens unique;80;-1.7763162649377175;48.060567943928625
671a44554397ae3ceaf663ed;2024-10-24 14:53:00;15067_G;77;55;76;freeFlow;3;{'type': 'Feature', 'geometry': {'coordinates': [[-1.785395656828299, 48.06897178714339], [-1.78514629887394, 48.068704048478494], [-1.784973168545909, 48.06851052908382], [-1.784022208480286, 48.06744754442323], [-1.783269484159864, 48.06658064178633], [-1.782504248562941, 48.065667679063395], [-1.781638904641655, 48.06461521786908], [-1.780979004445785, 48.06380337071505], [-1.780978841638171, 48.06380317141468], [-1.78034237191434, 48.06302790969323], [-1.780125329553001, 48.0627549338389], [-1.780124419092598, 48.06275382049959], [-1.779830468402487, 48.06240418522793], [-1.77982510843264, 48.062398634819644], [-1.779503061231102, 48.0621061262377], [-1.779501510568952, 48.06210476361694], [-1.779470592307727, 48.06207847126674], [-1.779229666594302, 48.0618735865856], [-1.779224709839009, 48.061869756139494], [-1.778782069863325, 48.06155852417041], [-1.778774259440993, 48.06155371147978], [-1.778308578557459, 48.061302616291506], [-1.778300737246666, 48.06129888252205], [-1.777643647912961, 48.06102403833111], [-1.77763486615479, 48.06102085427689], [-1.776967343827364, 48.06081359001464], [-1.776956246079399, 48.06081078934773], [-1.776340754905491, 48.06068930771437]], 'type': 'LineString'}, 'properties': {}};rva_troncon_fcd_v1_1.5413;5413;Réseau d'armature;Réseau de transit;Route départementale 288;35076;;80;-1.7811938678363142;48.06434637042733
671a44554397ae3ceaf663be;2024-10-24 14:53:00;10274_D;79;8;55;freeFlow;1;{'type': 'Feature', 'geometry': {'coordinates': [[-1.643992388929991, 48.04510759140762], [-1.641795516400546, 48.045379975458054]], 'type': 'LineString'}, 'properties': {}};rva_troncon_fcd_v1_1.5459;5459;Réseau d'armature;Réseau de transit;Route départementale 34;35206;;70;-1.6428939526652688;48.04524378343284
671a44554397ae3ceaf663c1;2024-10-24 14:53:00;10275_G;76;13;60;freeFlow;1;{'type': 'Feature', 'geometry': {'coordinates': [[-1.638088420834755, 48.046022903931814], [-1.640417918967923, 48.04568174117865], [-1.641826489414001, 48.045485883266345]], 'type': 'LineString'}, 'properties': {}};rva_troncon_fcd_v1_1.5464;5464;Réseau d'armature;Réseau de transit;Route départementale 34;35206;;70;-1.6399570004461081;48.045751208426495
671a44554397ae3ceaf663d6;2024-10-24 14:53:00;12060_D;79;9;55;freeFlow;1;{'type': 'Feature', 'geometry': {'coordinates': [[-1.646800270432397, 48.04480262838479], [-1.643994157365455, 48.04510738577686]], 'type': 'LineString'}, 'properties': {}};rva_troncon_fcd_v1_1.5436;5436;Réseau d'armature;Réseau de transit;Route départementale 34;35206;;70;-1.6453972138989261;48.04495500708082
671a44554397ae3ceaf663db;2024-10-24 14:53:00;1285_G;46;1;60;heavy;1;{'type': 'Feature', 'geometry': {'coordinates': [[-1.614919913558182, 48.04460052759158], [-1.614801546351015, 48.04459918612765]], 'type': 'LineString'}, 'properties': {}};rva_troncon_fcd_v1_1.5427;5427;Réseau d'armature;Réseau de transit;Route départementale 34;35352;;70;-1.6148607299545983;48.04459985685961
671a44554397ae3ceaf663e8;2024-10-24 14:53:00;15063;35;4;57;heavy;1;{'type': 'Feature', 'geometry': {'coordinates': [[-1.776225445424763, 48.06041710155603], [-1.776187623725483, 48.06039355008919], [-1.776146013120865, 48.06037307049453], [-1.776101165793328, 48.06035593538589], [-1.776042973716058, 48.06033981654155], [-1.775982003735097, 48.060329284083494], [-1.775919438861237, 48.06032454204141], [-1.775856498838797, 48.06032568297903], [-1.775794408932271, 48.060332684786665], [-1.775732397442181, 48.06034593911128]], 'type': 'LineString'}, 'properties': {}};rva_troncon_fcd_v1_1.5422;5422;Réseau d'armature;Réseau de transit;Rond-point des Villeneuves;35076;Sens unique;80;-1.775984287856189;48.060347325059894
671a44554397ae3ceaf663e9;2024-10-24 14:53:00;15064;38;4;73;heavy;2;{'type': 'Feature', 'geometry': {'coordinates': [[-1.775732397442181, 48.06034593911128], [-1.775676219494743, 48.06036418475779], [-1.775624309506717, 48.06038742735093], [-1.775577651012962, 48.06041522589135], [-1.775537124336673, 48.06044705535895], [-1.775503340113958, 48.06048267229303], [-1.775477278935703, 48.06052109512607], [-1.775459446858797, 48.06056157469182], [-1.775450194552447, 48.06060332412659], [-1.775449698205988, 48.060645530476584]], 'type': 'LineString'}, 'properties': {}};rva_troncon_fcd_v1_1.5425;5425;Réseau d'armature;Réseau de transit;Rond-point des Villeneuves;35076;Sens unique;80;-1.7755540977447732;48.060465143977616
671a44554397ae3ceaf663ea;2024-10-24 14:53:00;15065;37;5;75;heavy;2;{'type': 'Feature', 'geometry': {'coordinates': [[-1.775740033636449, 48.060909661131134], [-1.775793905517707, 48.060920838518385], [-1.775849437556436, 48.06092742396161], [-1.775912343011731, 48.06092922856621], [-1.775975011735133, 48.06092514762941], [-1.776036223555572, 48.060915258920716], [-1.776094785089188, 48.06089975534724], [-1.776149560209344, 48.06087894008208], [-1.776202796695035, 48.06085123095581], [-1.776249281160532, 48.060818514594395], [-1.776287976127319, 48.060781520826815], [-1.776318017054259, 48.060741075923914]], 'type': 'LineString'}, 'properties': {}};rva_troncon_fcd_v1_1.5424;5424;Réseau d'armature;Réseau de transit;Rond-point des Villeneuves;35076;Sens unique;80;-1.7760480989218623;48.06088218686456
671a44554397ae3ceaf663ec;2024-10-24 14:53:00;15067_D;75;56;75;freeFlow;2;{'type': 'Feature', 'geometry': {'coordinates': [[-1.776295279157476, 48.060792844128464], [-1.776905068297742, 48.060913200370116], [-1.777562658571929, 48.06111738083258], [-1.778211417968429, 48.061388740992996], [-1.778669202864205, 48.061635578925554], [-1.779105561861626, 48.061942395039445], [-1.779344144268869, 48.06214528737489], [-1.779374271201598, 48.062170906835064], [-1.779692624798556, 48.06246006127119], [-1.7799836839547, 48.06280625834433], [-1.780200534046794, 48.06307899331758], [-1.780201047860916, 48.06307962923895], [-1.780837694474335, 48.06385510900532], [-1.781497604733429, 48.06466697125718], [-1.781497790971568, 48.06466719906754], [-1.782363384957152, 48.06571996789128], [-1.7823637043799, 48.06572035266163], [-1.783129398627966, 48.066633865520735], [-1.783130005611966, 48.06663457695321], [-1.783883300338494, 48.06750213919488], [-1.783883835106348, 48.067502745924976], [-1.78483506372408, 48.06856603395165], [-1.785008564257964, 48.06875996772802], [-1.785009316267554, 48.06876079148802], [-1.785259055293388, 48.069028940073935]], 'type': 'LineString'}, 'properties': {}};rva_troncon_fcd_v1_1.5410;5410;Réseau d'armature;Réseau de transit;Route départementale 288;35076;;80;-1.7810956526508581;48.06443709294832
